2.213477,Cube (2)
2.22127,Cube (2)
3.544072,Cube (1)
3.563957,Cube (1)
5.482457,Cube (2)
15.62624,Cube (2)
16.48569,Cube
17.47584,Cube
17.91998,Cube (1)
18.05859,Cube (1)
18.14089,Cube (2)
28.24481,Cube (2)
29.015,Cube (1)
29.10412,Cube (1)
29.24536,Cube
37.18522,Cube
37.20633,Cube (1)
37.26784,Cube (1)
37.27435,Cube
38.58029,Cube
38.85565,Cube (1)
39.27144,Cube (1)
39.39114,Cube
39.7778,Cube
39.88364,Cube (1)
42.25699,Cube (1)
42.31894,Cube (2)
42.32512,Cube (2)
42.43175,Cube (1)
43.03503,Cube (1)
43.0951,Cube (2)
43.10832,Cube (2)
43.17054,Cube (1)
45.59088,Cube (1)
45.94987,Cube (2)
46.03303,Cube (2)
46.8049,Cube (1)
46.84071,Cube (1)
46.85693,Cube (1)
